DIVISION,DISTRICT,THANA,Thana Code
Dhaka,Dhaka,Kotwali,3025
Dhaka,Netrokona,Dhobaura,3141
Khulna,Bagerhat,Kachua,4004
Khulna,Jhenaidah,Kaliganj,4025
Khulna,Khulna,Daulatpur,4031
Khulna,Khulna,Kotwali,4037
Khulna,Kushtia,Daulatpur,4045
Khulna,Kushtia,Mirpur,4049
Khulna,Magura,Mohammadpur,4052
Khulna,Magura,Sreepur,4054
Khulna,Narail,Lohagara,4059
Khulna,Satkhira,Kaliganj,4065
Rajshahi,Nawabganj,Shibganj,5040
Rajshahi,Rajshahi,Durgapur,5055
Rangpur,Dinajpur,Nawabganj,6011
Rangpur,Kurigram,Nageshwari,6027
Rangpur,Thakurgaon,Pirganj,6059
